volume,total_dice_coefficient,IRF_dice_coefficient,SRF_dice_coefficient,PED_dice_coefficient
TRAIN002,0.47001644354172506,0.4713727516173971,0.6264503260763775,0.0
TRAIN003,0.22919596858624683,0.40057595436725524,0.0,0.0
TRAIN012,0.577997327125395,0.0,0.7566358086613834,0.4535653773705809
TRAIN014,0.5179616138302666,0.0,0.570514925287029,0.6921015669130117
TRAIN018,0.07916719907998979,0.09895899884998723,0.0,0.0
TRAIN022,0.4835191997706472,0.5344100793968374,0.0,0.0
TRAIN026,0.5134738372371084,0.5705929461497954,0.0,0.0
TRAIN031,0.5396015280949097,0.0,0.0,0.5971546245162132
TRAIN035,0.7569607700789119,0.0,0.8592183471876822,0.42061186799321437
TRAIN041,0.11212696836346839,0.11212696836346839,,
TRAIN046,0.6672564451708318,0.7196224156426317,0.08938612583468435,0.6450058724265868
TRAIN052,0.21443696080927246,0.2364255597404314,0.32455583851024,0.0
TRAIN060,0.117014350171199,0.23077844181967722,0.0,0.0
TRAIN063,0.45359713938714225,0.0,0.6715912458711872,0.1496265832577772
TRAIN066,0.5094014399823228,0.5297774975816157,,0.0
TRAIN068,0.6357465451356289,0.6378503367398398,0.44172393590240994,0.0
